DOWNTOWN,STNAME,YEAR,AAWDT
false,STEWART ST RAMP,2007,20000
false,PIKE RAMP,2007,2700
false,UNIVERSITY ST ON RAMP,2007,8700
false,JAMES ST OFF RAMP,2007,12300
false,YALE ST ON RAMP,2007,20900
false,OLIVE WAY OFF RAMP,2007,9700
false,COLUMBIA ST OFF RAMP,2007,17200
false,SENECA ST OFF RAMP,2007,12400
false,SPRING ST ON RAMP,2007,16100
false,UNION ST OFF RAMP,2007,9800
false,JAMES ST ON RAMP SB,2007,20800
false,CHERRY ST ON RAMP NB,2007,12400
false,MADISON ST OFF RAMP,2007,13400
false,CHERRY ST REV RAMP,2007,3900
true,WESTERN AVE,2007,7600
true,ALASKAN WAY,2007,14300
false,SR99 FY,2007,39700
false,SR509 NB,2007,58700
false,ALASKAN WY VI NB & SB,2007,54700
false,ALASKAN WY VI NB & SB,2007,86200
false,WEST SEATTLE BR EB & WB,2007,66400
false,WEST SEATTLE BR EB & WB,2007,85100
false,WEST SEATTLE BR EB & WB,2007,44300
false,35TH AVE SW,2007,23300
false,BATTERY ST TUNNEL NB & SB,2007,66400
false,ALASKAN WY VI NB & SB,2007,110100
false,M L KING JR WAY S,2007,16800
false,M L KING JR WAY S,2007,19900
false,S HENDERSON ST,2007,6800
false,S GRAHAM ST,2007,11300
false,RAINIER AVE S,2007,34700
false,S JACKSON ST,2007,14600
false,ML KING JR BLVD S NB & SB,2007,14800
false,M L KING JR WAY S NB & SB,2007,18700
false,S COLUMBIAN WAY,2007,39600
false,NORTHGATE WAY W/O 15TH AVE NE,2007,18000
false,ROOSEVELT WAY NE,2007,12400
true,MELROSE AVE ON RAMP,2007,16000
